company,code,subcode,במלאי,amount,description,price ,סהכ,category,subcategory,izo,grade,currency
DIJET,,MQX-4020-M10  (32140-Z6590),,1,MODULAR HEAD SYSTEM,€0.00,€0.00,other,,,,EUR
DIJET,,MRX-100-M6,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,MRX-120-M6-H,,4,,€0.00,€0.00,other,,,,EUR
DIJET,,MRX-160-M8,,6,,€0.00,€0.00,other,,,,EUR
DIJET,,MSG-5035-09-M16  (32150-Z3999),,1,MODULAR HEAD SYSTEM,€0.00,€0.00,other,,,,EUR
DIJET,,MSG-3025-09-M12,,1,MODULAR HEAD SYSTEM,€0.00,€0.00,other,,,,EUR
DIJET,,MSN-M6-120S-S11.8C        ,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,MSN-M6-35T-S12C        ,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,PME3012S12  (32143-Z8400),,3,,€0.00,€0.00,other,,,,EUR
DIJET,,PME3013S12-LS  (32143-Z7204),,2,,€0.00,€0.00,other,,,,EUR
DIJET,,RDGT 1004M0E                    JC8015,,20,,€0.00,€0.00,other,,,,EUR
DIJET,,RDHT 0702MO-T57P,,20,,€0.00,€0.00,other,,,,EUR
DIJET,,RDHX 0702MOT                    DH103,,40,,€0.00,€0.00,other,,,,EUR
DIJET,,RDHX 1003M0F                      KT9,,20,,€0.00,€0.00,other,,,,EUR
DIJET,,RDHX 1003M0T                      JC8118 ,,30,,€0.00,€0.00,other,,,,EUR
DIJET,,RDHX 1003M0T                    DH103,,50,,€0.00,€0.00,other,,,,EUR
DIJET,,RDHX 12T3M0T                    JC8118,,70,,€0.00,€0.00,other,,,,EUR
DIJET,,RDHX 12T3MOT                    DH103,,30,,€0.00,€0.00,other,,,,EUR
DIJET,,RDHX 1604MOT                     JC8118,,70,,€0.00,€0.00,other,,,,EUR
DIJET,,RDMT 1004M0E                     JC8118,,50,,€0.00,€0.00,other,,,,EUR
DIJET,,RDMT 1004M0E-ML                JC8050,,20,,€0.00,€0.00,other,,,,EUR
DIJET,,RDMW 1004MOT                  JC8015,,100,,€0.00,€0.00,other,,,,EUR
DIJET,,RDMW 1606M0T                  DH103,,10,,€0.00,€0.00,other,,,,EUR
DIJET,,RNMU 1205MOE-MM JC7560P,,30,,€0.00,€0.00,other,,,,EUR
DIJET,,SECM 2121S20,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,SEHH 6080-R10 DH102,,1,,€0.00,€0.00,other,,,,EUR
DIJET,,SICM 2513S25-3N,,2,,€0.00,€0.00,other,,,,EUR
