#,,,,,
ספק ראשי,קוד פריט,תאור פריט,ספירה מעודכנת,תאור לועזי,עלות 
ALLIED,NDTH300-0030,#182A-30.0                 M48+TIALN/PVD,2,"להב קידוח, דגם T-A, מתקש מצופה",105.38
ALLIED,NDTH310-0012,#182A-31.0                 M48+TIALN/PVD,4,"להב קידוח, דגם T-A, מתקש מצופה",105.38
ALLIED,NDTH320-0015,#182A-32.0                 M48+TIALN/PVD,10,"להב קידוח, דגם T-A, מתקש מצופה",105.38
ALLIED,NDTH340-0015,#182A-34.0                 M48+TIALN/PVD,2,"להב קידוח, דגם T-A, מתקש מצופה",7.98
ALLIED,NDTH105-0020,#18YA-10.5                 M48+TIALN/PVD,4,"להב קידוח, דגם HSS  ,T-A מצופה",69.38
ALLIED,NDTH110-0020,#18YA-11.0                 M48+TIALN/PVD,2,"להב קידוח, דגם HSS  ,T-A מצופה",89.24
ALLIED,NDTH095-0020,#18YA-9.5                  M48+TIALN/PVD,2,"להב קידוח, דגם HSS  ,T-A מצופה",66.74
ALLIED,NDTH119-0015,#18ZA-0015 (11.91)         M48+TIALN/PVD,2,"להב קידוח, דגם HSSCO,T-A מצופה",88.5
ALLIED,NDTC135-0010,#1C20A-13.5            M.G.K20-TIALN/PVD,2,"להב קידוח, דגם T-A, מתקש מצופה",0.01
ALLIED,NDTC140-0010,#1C20A-14.0            M.G.K20-TIALN/PVD,2,"להב קידוח, דגם T-A, מתקש מצופה",40.9
ALLIED,NDTC198-0011,#1C21A-0025  (19.844)  M.G.K20+TIALN/PVD,4,"להב קידוח, דגם T-A, מתקש מצופה",9.96
ALLIED,NDTC220-0020,#1C21A-22.0            M.G.K20-TIALN/PVD,3,"להב קידוח, דגם T-A, מתקש מצופה",46.74
ALLIED,NDTC135-0011,#1C50A-13.5            M.G.P40+TIALN/PVD,4,"להב קידוח, דגם T-A, מתקש מצופה",40.9
ALLIED,NDTC222-0011,#1C51A-0028 (22.223)   M.G.P40-TIALN/PVD,6,"להב קידוח, דגם T-A, מתקש מצופה",46.74
ALLIED,NDTC220-0013,#1C51A-22.0            M.G.P40-TIALN/PVD,1,"להב קידוח, דגם T-A, מתקש מצופה",46.74
ALLIED,NDTC240-0013,#1C51A-24.0            M.G.P40-TIALN/PVD,4,"להב קידוח, דגם T-A, מתקש מצופה",120.41
ALLIED,NDTC254-0010,#1C52A-0100 (25.4)     M.G.P40-TIALN/PVD,2,"להב קידוח, דגם T-A, מתקש מצופה",136.75
ALLIED,NHSBA20-0013,"#21000S-16ER(RANGE13.0-17.5,B=22,d=16ER)",2,"מקדחSTUB,תעול ישר,קנה ישר+קרור",416.96
ALLIED,NHSBA20-0015,"#21000S-20ER(RANGE13.0-17.5,B=22,d=20ER)",3,"מקדחSTUB,תעול ישר,קנה ישר+קרור",416.96
ALLIED,NHSBA20-0010,"#21000S-20FM(RANGE13.0-17.5,B=22,d20*42)",2,"מקדחSTUB,תעול ישר,קנה ישר+קרור",142.78
ALLIED,NHSBA20-0020,"#21005S-20FM(RANGE15.5-17.5,B=22,d20*42)",2,"מקדחSTUB,תעול ישר,קנה ישר+קרור",155.1
ALLIED,NHSBA25-0010,"#21010S-25FM(RANGE17.8-24.0,B=48,d25*53)",8,"מקדחSTUB,תעול ישר,קנה ישר+קרור",117.21
ALLIED,NHSBA25-0020,"#21015S-25FM(RANGE22.0-24.0,B=57,d25*53)",2,"מקדחSTUB,תעול ישר,קנה ישר+קרור",306.31
ALLIED,NHSBA32-0010,"#21020S-32FM(RANGE24.6-35.0,B=57,d32*58)",3,"מקדחSTUB,תעול ישר,קנה ישר+קרור",189.1
ALLIED,NHSBA16-0020,"#210Z0S-16FM(RANGE11.5-12.5,B=19,d16*42)",3,"מקדחSTUB,תעול ישר,קנה ישר+קרור",504.97
ALLIED,NHSTA20-0030,"#22000S-20FM(RANGE13.0-17.5,B=35,d20*42)",2,"מקדח קצר,תעול ישר,קנה ישר+קרור",388.82
ALLIED,NHSTA20-0040,"#22005S-20FM(RANGE15.5-17.5,B=35,d20*42)",2,"מקדח קצר,תעול ישר,קנה ישר+קרור",388.82
ALLIED,NHSTA03-0011,"#22010S-003I  (RANGE17.8-24.0,B=70,MT=3)",2,"מקד'קצר,תעול ישר,קנה קוני+קרור",110.77
ALLIED,NHSTA25-0010,"#22010S-25FM(RANGE17.8-24.0,B=67,d25*53)",3,"מקדח קצר,תעול ישר,קנה ישר+קרור",441.73
ALLIED,NHSTA25-0020,"#22015S-25FM(RANGE22.0-24.0,B=67,d25*53)",5,"מקדח קצר,תעול ישר,קנה ישר+קרור",409.42
ALLIED,NHSTA32-0010,"#22020S-32FM(RANGE24.6-35.0,B=86,d32*58)",1,"מקדח קצר,תעול ישר,קנה ישר+קרור",394.01
ALLIED,NHSTA40-0010,"#22030S-40FM(RANGE35.7-47.6,B121,d40*70)",1,"מקדח קצר,תעול ישר,קנה ישר+קרור",561.87
ALLIED,NHSTA40-0020,"#22040S-40FM(RANGE48.0-65.1,B130,d40*70)",1,"מקדח קצר,תעול ישר,קנה ישר+קרור",614.09
ALLIED,NHSTA20-0020,"#220Z0S-20FM(RANGE11.1-12.7,B=32,d20*42)",2,"מקדח קצר,תעול ישר,קנה ישר+קרור",378.5
ALLIED,NHMTA03-0010,"#23010H-003M (RANGE17.8-24.0,B=121,MT=3)",1,"מקדח MED,ספירלי,קנה קוני+קרור",173.16
ALLIED,NHMTA25-0010,"#23010H-25FM(RANGE17.8-24.0,B118,d25*53)",4,"מקדח MED,ספירלי,קנה ישר+קרור",443.99
ALLIED,NHMTA03-0011,"#23010S-003I (RANGE17.8-24.0,B=121,MT=3)",2,"מקדחMED,תעול ישר,קנה קוני+קרור",160.42
ALLIED,NHMTA03-0022,"#23015H-003I  (RANGE22.0-24.0,B121,MT=3)",2,"מקדח MED,ספירלי,קנה קוני+קרור",185.91
ALLIED,NHMTA25-0020,"#23015H-25FM(RANGE18.0-20.0,B118,d25*53)",2,"מקדח MED,ספירלי,קנה ישר+קרור",508.09
ALLIED,NHMTA32-0010,"#23020H-32FM(RANGE24.6-35.0,B137,d32*58)",1,"מקדח MED,ספירלי,קנה ישר+קרור",633.85
ALLIED,NHMTA32-0020,"#23025H-32FM(RANGE30.0-35.0,B137,d32*58)",1,"מקדח MED,ספירלי,קנה ישר+קרור",211.4
ALLIED,NHMTA40-0010,"#23030H-40FM(RANGE35.7-47.6,B165,d40*70)",2,"מקדח MED,ספירלי,קנה ישר+קרור",264.52
